Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
2020-01-02,5540.17138671875,5614.702840351738,5531.890114092863,5544.3120230316945,49445000
2020-01-03,5631.265625,5631.265625,5569.156077665441,5589.859260110294,47755500
2020-01-06,5577.4384765625,5589.860388537027,5540.172740638919,5565.016564587973,27300000
2020-01-07,5581.57763671875,5606.421454092869,5573.29636426071,5577.43700048973,45022500
2020-01-08,5531.89111328125,5585.71939507216,5523.6098391595715,5523.6098391595715,53692500
2020-01-09,5581.57763671875,5593.999545405809,5573.29636426071,5581.57763671875,40363500
2020-01-10,5569.15673828125,5651.969477883945,5556.734827340845,5602.281834122327,73362000
2020-01-13,5585.71875,5598.140659747962,5577.4374768346925,5581.578113417347,67855000
2020-01-14,5689.2353515625,5701.657262810453,5581.578787413574,5585.719424496225,93582000
2020-01-15,5660.2509765625,5846.579648066021,5631.2665165508415,5689.2354365741585,75623500
2020-01-16,5672.67236328125,5705.797457373404,5627.12535890454,5635.406632427578,88931500
2020-01-17,5693.37548828125,5705.797398437499,5631.265937499999,5664.39103125,38249500
2020-01-20,5660.2509765625,5776.188816609135,5656.110339417977,5755.485630886522,93554500
2020-01-21,5656.10986328125,5709.938141628729,5651.96922648529,5701.656868036809,103984500
2020-01-22,5664.3916015625,5709.938610054596,5660.250964426855,5676.813512969435,94311500
2020-01-23,5664.3916015625,5709.938610054596,5656.11032729121,5701.657335783306,87728000
2020-01-24,5639.54833984375,5697.517265510279,5639.54833984375,5647.829614938969,69653500
2020-01-27,5664.3916015625,5747.204344275402,5643.688415884274,5685.094787240725,39679000
2020-01-28,5622.98388671875,5668.530884328401,5593.999433694426,5660.249612035737,82615000
2020-01-29,5618.8427734375,5668.530402974162,5606.420866053335,5631.264680821666,43821000
2020-01-30,5581.57763671875,5668.530997528166,5573.29636426071,5668.530997528166,71990000
2020-01-31,5366.26513671875,5635.406520890601,5366.26513671875,5631.265884211034,163136500
2020-02-03,5333.14013671875,5453.218602529964,5275.1712221891985,5366.265230735637,149797000
2020-02-04,5465.6396484375,5482.202192826705,5399.389470880682,5440.795831853693,113316500
2020-02-05,5573.29736328125,5614.703732993592,5507.047171741502,5614.703732993592,123002500
2020-02-06,5581.57763671875,5614.702726550909,5531.890001970512,5581.57763671875,154693500
2020-02-07,5598.14013671875,5614.702681501942,5552.593138564974,5556.733774760771,82609000
2020-02-10,5618.8427734375,5618.8427734375,5490.483063801124,5598.139594463892,66578500
2020-02-11,5614.70361328125,5618.844250164201,5585.719155100594,5618.844250164201,77526500
2020-02-12,5631.265625,5631.265625,5598.140533088235,5631.265625,69971500
2020-02-13,5622.98388671875,5647.827703596741,5581.57752525543,5647.827703596741,49737000
2020-02-14,5531.89111328125,5627.125765680553,5527.750476220411,5614.703854498035,147028500
2020-02-17,5565.01611328125,5589.859935215541,5531.891017368861,5531.891017368861,115319000
2020-02-18,5544.3134765625,5565.016663554891,5523.610289570108,5536.032201765543,98436500
2020-02-19,5544.3134765625,5598.141762742718,5519.46965217163,5519.46965217163,74594000
2020-02-20,5461.50048828125,5544.313232606971,5436.656664983534,5540.172595390684,136724500
2020-02-21,5478.06298828125,5515.328722895409,5461.500439563847,5465.641076743197,98261000
2020-02-24,5403.53076171875,5465.640310704023,5391.1088519216955,5436.655854510896,84910000
2020-02-25,5407.67138671875,5432.515206259571,5391.1088403582025,5424.2339330792975,86446500
2020-02-26,5316.578125,5411.812779887072,5316.578125,5382.82831970405,92824500
2020-02-27,5208.9208984375,5362.124454273897,5134.3894388414155,5357.98381762967,129254500
2020-02-28,5208.9208984375,5208.9208984375,4997.748429581926,5134.3894388414155,169946500
2020-03-02,5035.01416015625,5208.920899240594,4997.748430352462,5208.920899240594,144871500
2020-03-03,5233.7646484375,5258.608467971222,5134.389370302611,5134.389370302611,114663500
2020-03-04,5333.14013671875,5382.82777774408,5184.0772136427595,5229.624217915979,83025000
2020-03-05,5329.0,5415.95337995338,5250.327894327895,5415.95337995338,77583000
2020-03-06,5134.39013671875,5258.6092529296875,5134.39013671875,5258.6092529296875,77835500
2020-03-09,4790.71630859375,5001.888764720182,4790.71630859375,4968.763673563094,140889500
2020-03-10,4906.6552734375,4977.046108583861,4836.264438291139,4836.264438291139,133667000
2020-03-11,4844.544921875,4952.2014756944445,4794.857281650641,4927.357655582266,93204500
2020-03-12,4604.38818359375,4670.638373285747,4521.575446478754,4637.513278439748,129845500
2020-03-13,4604.38818359375,4604.38818359375,4604.38818359375,4604.38818359375,0
